50
0
1
2
4
10
5
8
1
2
8
9
9
4
9
2
9
3
9
6
2
4
5
7
8
4
9
8
7
5
9
6
5
7
6
6
7
6
4
7
3
8
3
5
7
8
1
8
1
10
8
0 48 12
0 16 11
0 34 10
0 22 11
1 35 13
1 21 13
0 1 9
1 19 10
2 3 8
2 44 10
2 8 8
3 22 10
3 41 13
3 4 12
4 24 13
4 30 9
4 31 9
5 17 11
5 47 9
5 24 9
6 16 9
2 6 11
7 20 8
7 46 13
8 38 13
3 8 12
9 40 11
9 36 14
2 10 12
3 10 9
0 11 9
11 23 12
11 13 13
9 12 8
12 34 13
12 29 13
1 12 7
12 13 10
13 39 9
7 13 11
14 38 15
14 26 12
14 37 15
14 45 9
6 15 12
12 15 12
15 28 11
15 42 11
16 18 11
13 16 12
1 16 9
2 16 12
17 24 10
17 33 10
17 29 9
17 20 9
18 40 8
18 36 10
10 19 10
20 29 10
20 43 11
20 40 9
21 29 10
16 21 11
21 30 11
11 21 11
22 39 9
22 43 10
23 34 11
18 23 11
15 23 15
24 45 15
24 46 10
24 47 13
5 25 13
25 30 10
3 25 14
18 25 8
26 32 11
10 27 8
26 28 8
25 28 8
23 28 12
2 29 7
29 31 10
29 35 8
9 29 9
5 29 10
30 33 8
8 30 11
9 30 11
8 31 12
31 47 12
31 35 13
21 32 12
32 42 12
33 39 9
22 33 8
24 33 6
32 33 11
22 34 12
34 35 13
30 34 13
19 35 10
35 42 10
3 36 9
26 36 11
33 36 10
24 36 7
17 37 10
0 37 12
36 37 10
31 37 12
33 38 11
17 38 11
5 38 8
31 38 14
25 39 9
39 46 12
22 40 14
27 40 11
40 45 9
15 40 12
40 41 11
2 41 13
22 41 11
16 41 11
34 41 11
17 42 11
37 42 10
20 42 11
11 43 12
16 43 7
16 44 11
0 44 11
30 44 13
10 44 13
18 45 7
39 45 8
19 45 10
1 46 10
13 46 10
33 46 11
7 47 9
29 47 11
35 47 9
15 48 8
9 48 9
16 48 11
3 48 10
34 48 13
6 48 7
34 49 15
28 49 14
