50
0
5
6
6
9
10
5
7
7
8
3
6
5
3
3
5
4
5
6
8
3
5
4
6
7
4
8
3
4
8
3
3
3
5
6
9
10
3
7
1
3
8
8
6
8
7
8
6
4
10
0 12 9
0 3 10
0 28 11
0 21 11
0 8 13
0 13 9
0 33 13
0 5 6
0 20 11
0 45 10
1 2 15
1 24 10
1 15 14
1 42 10
1 38 10
1 9 14
1 44 12
1 36 10
1 11 14
1 32 12
2 38 10
2 35 10
2 42 9
2 34 9
2 20 9
2 23 6
2 41 8
2 44 13
0 2 9
2 21 15
3 42 11
3 5 13
3 14 10
3 17 10
3 35 6
3 47 11
3 43 9
3 24 11
3 8 10
3 46 16
3 6 9
4 7 8
4 24 7
4 21 11
4 37 9
4 11 12
4 10 9
0 4 11
4 48 8
4 33 11
4 29 13
5 17 8
5 12 12
5 24 5
5 41 9
5 15 11
5 43 9
5 38 7
5 48 13
5 39 7
5 18 8
5 25 12
6 45 9
6 38 10
6 29 11
6 24 7
6 35 10
6 11 8
6 37 11
6 14 10
6 18 9
7 41 9
7 17 11
6 7 13
7 9 9
7 46 13
7 26 11
7 40 10
7 33 13
7 10 11
7 47 12
5 8 11
8 24 11
8 39 9
8 34 9
4 8 8
8 11 13
6 8 11
8 37 13
8 33 8
8 22 11
0 9 12
9 32 10
9 10 10
9 19 11
9 37 11
9 31 11
9 12 12
9 30 10
10 14 10
6 10 11
10 32 13
2 10 11
10 23 8
10 11 11
10 33 10
10 28 13
10 46 8
11 41 12
11 31 9
11 47 10
2 11 9
11 38 9
11 34 10
11 18 11
11 26 7
11 39 13
11 37 8
11 42 9
7 12 14
6 12 10
12 41 9
12 21 8
12 43 10
12 20 10
4 12 11
12 18 13
12 28 11
12 22 12
12 37 9
9 13 8
13 35 10
13 23 14
6 13 10
13 42 11
13 48 9
7 13 11
13 37 12
13 33 11
13 20 10
5 13 9
14 33 10
11 14 10
0 14 14
4 14 11
14 37 9
14 18 12
14 23 8
14 46 10
14 40 13
14 48 7
15 21 6
8 15 8
15 44 8
9 15 14
15 18 8
15 31 11
15 48 12
15 24 13
15 23 12
15 38 7
8 16 12
16 30 10
15 16 9
11 16 13
16 29 11
16 39 14
16 41 10
16 26 9
16 32 11
17 31 11
9 17 7
17 25 10
11 17 13
17 47 9
17 34 10
17 42 8
17 29 8
16 17 11
17 21 12
17 44 9
18 41 11
1 18 10
18 44 10
9 18 11
18 42 10
18 49 8
18 21 10
8 18 9
18 20 11
13 18 9
18 39 10
16 19 11
